-5	-1	32.1	-0.87	-4
-3.6	-2	31.62	-0.52	-1
-4.7	-1.5	32.11	-0.08	-2
-5	-1.5	33.02	-0.95	-2
-3.6	-2.5	18.82	-0.32	-2
-5	-2	39.64	-0.72	-1
-3.6	-1.4	29.34	-0.82	-2
-4.2	-1.4	29.34	-0	-2
-4.7	-1.4	32.11	-0	-3
-3.6	-1.8	31.5	-0.52	-1
-3.6	-1.3	29.26	-0.8	-2
-4.2	-1.3	29.26	-0.02	-2
-4.7	-1.3	31.73	-0.02	-3
-3.6	-2.3	21.2	-0.4	-2
-3.6	-1.7	31.02	-0.52	-1
-5	-1.3	33.3	-0.89	-3
-4.7	-1.7	39.13	-0.38	-2
-5	-1.7	39.64	-0.71	-2
-4.2	-2.2	32.59	-0.5	-1
-4.7	-2.2	40.19	-0.36	-2
-3.6	-2.2	32.59	-0.54	-1
-4.7	-1.6	31.73	-0	-2
-5	-1.6	33.02	-0.88	-2
-3.6	-1.1	28.88	-0.79	-2
-4.2	-1	28.18	-0.03	-4
-4.2	-1.1	28.88	-0.05	-2
-4.7	-1	31.1	-0.04	-4
-4.7	-1.1	29.93	-0.07	-3
-3.6	-1	28.18	-0.8	-4
-5	-1.1	32.1	-0.86	-3
